ticket_id,created_at,customer_id,channel,subject,message,category,priority,status,sentiment,summary,assigned_team
TCK-0001,2026-03-19 21:33:37,CUST-1250,chat,Subscription billing issue,Please help me fix this billing problem quickly.,billing,low,pending,negative,Subscription billing issue: Please help me fix this billing problem quickly.,billing
TCK-0002,2026-02-03 17:00:37,CUST-1214,email,Password reset issue,The application is slow and sometimes throws an error.,technical,medium,closed,negative,Password reset issue: The application is slow and sometimes throws an error.,engineering
TCK-0003,2026-02-13 03:47:37,CUST-1067,email,Double charge,I was charged twice for my subscription and I need a refund.,billing,medium,open,negative,Double charge: I was charged twice for my subscription and I need a refund.,billing
TCK-0004,2026-03-17 08:03:37,CUST-1222,email,Suggestion for export options,I would like more filtering options in reports.,product,low,open,neutral,Suggestion for export options: I would like more filtering options in reports.,product
TCK-0005,2026-02-13 10:29:37,CUST-1296,web,Need better filtering,Please consider improving the dashboard usability.,product,low,open,neutral,Need better filtering: Please consider improving the dashboard usability.,product
TCK-0006,2026-02-03 17:54:37,CUST-1265,chat,Dashboard crash,I am unable to access a feature that worked yesterday.,technical,medium,open,positive,Dashboard crash: I am unable to access a feature that worked yesterday.,engineering
TCK-0007,2026-03-11 19:44:37,CUST-1086,email,Password reset issue,I am unable to access a feature that worked yesterday.,technical,medium,open,positive,Password reset issue: I am unable to access a feature that worked yesterday.,engineering
TCK-0008,2026-03-17 09:39:37,CUST-1066,web,Dashboard crash,The application is slow and sometimes throws an error.,technical,high,open,negative,Dashboard crash: The application is slow and sometimes throws an error.,engineering
TCK-0009,2026-02-05 17:00:37,CUST-1177,chat,Password reset issue,I am unable to access a feature that worked yesterday.,technical,low,open,positive,Password reset issue: I am unable to access a feature that worked yesterday.,engineering
TCK-0010,2026-02-12 11:10:37,CUST-1102,chat,Payment issue,I was charged twice for my subscription and I need a refund.,billing,high,closed,negative,Payment issue: I was charged twice for my subscription and I need a refund.,billing
TCK-0011,2026-03-18 17:13:37,CUST-1278,web,Export button not working,The application is slow and sometimes throws an error.,technical,high,open,negative,Export button not working: The application is slow and sometimes throws an error.,engineering
TCK-0012,2026-01-30 09:58:37,CUST-1139,email,Dashboard crash,I cannot log into my account after resetting my password.,technical,medium,open,negative,Dashboard crash: I cannot log into my account after resetting my password.,engineering
TCK-0013,2026-03-06 03:56:37,CUST-1027,web,Login problem,I cannot log into my account after resetting my password.,technical,medium,open,negative,Login problem: I cannot log into my account after resetting my password.,engineering
TCK-0014,2026-03-06 03:37:37,CUST-1221,chat,Need better filtering,Please consider improving the dashboard usability.,product,low,open,neutral,Need better filtering: Please consider improving the dashboard usability.,product
TCK-0015,2026-02-19 12:10:37,CUST-1196,web,Account question,I have a general question about how the platform works.,general,low,open,neutral,Account question: I have a general question about how the platform works.,support
TCK-0016,2026-02-27 05:45:37,CUST-1071,email,Support request,I have a general question about how the platform works.,general,low,open,positive,Support request: I have a general question about how the platform works.,support
TCK-0017,2026-02-18 04:08:37,CUST-1217,chat,Suggestion for export options,This is not urgent but I have a product suggestion.,product,medium,open,neutral,Suggestion for export options: This is not urgent but I have a product suggestion.,product
TCK-0018,2026-02-02 13:45:37,CUST-1164,chat,Subscription billing issue,The invoice amount looks incorrect on my account.,billing,low,closed,neutral,Subscription billing issue: The invoice amount looks incorrect on my account.,billing
TCK-0019,2026-02-11 04:55:37,CUST-1120,web,General question,I have a general question about how the platform works.,general,low,open,neutral,General question: I have a general question about how the platform works.,support
TCK-0020,2026-02-23 15:14:37,CUST-1196,chat,Password reset issue,There seems to be a bug when I try to open the dashboard.,technical,low,open,neutral,Password reset issue: There seems to be a bug when I try to open the dashboard.,engineering
TCK-0021,2026-02-20 12:05:37,CUST-1081,phone,Export button not working,The application is slow and sometimes throws an error.,technical,high,pending,negative,Export button not working: The application is slow and sometimes throws an error.,engineering
TCK-0022,2026-01-18 20:49:37,CUST-1056,email,Dashboard improvement,It would be great to have dark mode in the dashboard.,product,low,closed,neutral,Dashboard improvement: It would be great to have dark mode in the dashboard.,product
TCK-0023,2026-03-03 19:17:37,CUST-1237,chat,Export button not working,The export button crashes every time I click on it.,technical,high,open,negative,Export button not working: The export button crashes every time I click on it.,engineering
TCK-0024,2026-02-14 20:49:37,CUST-1047,email,Need better filtering,This is not urgent but I have a product suggestion.,product,low,open,neutral,Need better filtering: This is not urgent but I have a product suggestion.,product
TCK-0025,2026-01-20 17:11:37,CUST-1137,web,General question,I need more information before continuing.,general,medium,pending,neutral,General question: I need more information before continuing.,support
TCK-0026,2026-02-18 08:28:37,CUST-1196,web,Dashboard improvement,Please consider improving the dashboard usability.,product,low,open,neutral,Dashboard improvement: Please consider improving the dashboard usability.,product
TCK-0027,2026-03-06 02:31:37,CUST-1159,chat,Dark mode suggestion,This is not urgent but I have a product suggestion.,product,low,open,neutral,Dark mode suggestion: This is not urgent but I have a product suggestion.,product
TCK-0028,2026-01-30 22:29:37,CUST-1123,web,Double charge,My payment failed but the money was still debited.,billing,low,closed,positive,Double charge: My payment failed but the money was still debited.,billing
TCK-0029,2026-02-07 04:46:37,CUST-1139,email,Login problem,The export button crashes every time I click on it.,technical,medium,open,neutral,Login problem: The export button crashes every time I click on it.,engineering
TCK-0030,2026-01-20 04:11:37,CUST-1031,phone,Export button not working,I cannot log into my account after resetting my password.,technical,medium,pending,negative,Export button not working: I cannot log into my account after resetting my password.,engineering
TCK-0031,2026-02-26 19:42:37,CUST-1125,email,Payment issue,My payment failed but the money was still debited.,billing,low,open,neutral,Payment issue: My payment failed but the money was still debited.,billing
TCK-0032,2026-02-28 13:00:37,CUST-1109,chat,Password reset issue,I cannot log into my account after resetting my password.,technical,high,open,negative,Password reset issue: I cannot log into my account after resetting my password.,engineering
TCK-0033,2026-01-18 10:33:37,CUST-1271,chat,Payment issue,I was charged twice for my subscription and I need a refund.,billing,high,open,negative,Payment issue: I was charged twice for my subscription and I need a refund.,billing
TCK-0034,2026-03-05 11:08:37,CUST-1239,chat,Dark mode suggestion,This is not urgent but I have a product suggestion.,product,low,open,neutral,Dark mode suggestion: This is not urgent but I have a product suggestion.,product
TCK-0035,2026-03-14 00:10:37,CUST-1002,web,Refund request,I have not received my refund after several days.,billing,high,pending,negative,Refund request: I have not received my refund after several days.,billing
